date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-01-02T00:00:00.000Z,46.76,47.42,46.54,46.66,27913852,40.3046408085,40.8735258156,40.1150124727,40.2184461104,27913852,0.0,1.0
2015-01-05T00:00:00.000Z,46.325,46.73,46.25,46.37,39673865,39.9296938719,40.278782399,39.8650478484,39.9684814861,39673865,0.0,1.0
2015-01-06T00:00:00.000Z,45.65,46.749,45.54,46.38,36447854,39.3478796601,40.2951593917,39.2530654922,39.9771009559,36447854,0.0,1.0
2015-01-07T00:00:00.000Z,46.23,46.46,45.49,45.98,29114061,39.8478089088,40.0460567143,39.2099681432,39.6323221637,29114061,0.0,1.0
2015-01-08T00:00:00.000Z,47.59,47.7499,46.72,46.75,29645202,41.0200568023,41.1578821245,40.2701629292,40.2960213387,29645202,0.0,1.0
2015-01-09T00:00:00.000Z,47.19,47.82,46.9,47.61,23715642,40.6752780101,41.2183046078,40.4253133857,41.0372957419,23715642,0.0,1.0
2015-01-12T00:00:00.000Z,46.6,47.54,46.36,47.42,23651887,40.1667292916,40.9769594533,39.9598620163,40.8735258156,23651887,0.0,1.0
2015-01-13T00:00:00.000Z,46.355,47.91,46.06,46.97,35270601,39.9555522814,41.295879836,39.7012779221,40.4856496744,35270601,0.0,1.0
2015-01-14T00:00:00.000Z,45.955,46.24,45.62,45.96,29719580,39.6107734892,39.8564283786,39.3220212507,39.6150832241,29719580,0.0,1.0
2015-01-15T00:00:00.000Z,45.48,46.38,45.41,46.22,32750779,39.2013486734,39.9771009559,39.1410123848,39.839189439,32750779,0.0,1.0
2015-01-16T00:00:00.000Z,46.24,46.28,45.17,45.31,35695289,39.8564283786,39.8909062578,38.9341451095,39.0548176867,35695289,0.0,1.0
2015-01-20T00:00:00.000Z,46.39,46.65,45.57,46.3,36161860,39.9857204257,40.2098266406,39.2789239017,39.9081451974,36161860,0.0,1.0
2015-01-21T00:00:00.000Z,45.92,46.14,45.48,45.94,39081143,39.5806053448,39.7702336805,39.2013486734,39.5978442844,39081143,0.0,1.0
2015-01-22T00:00:00.000Z,47.13,47.135,46.08,46.38,35898035,40.6235611912,40.6278709261,39.7185168617,39.9771009559,35898035,0.0,1.0
2015-01-23T00:00:00.000Z,47.18,47.39,46.8,47.36,26211594,40.6666585403,40.8476674062,40.3391186877,40.8218089968,26211594,0.0,1.0
2015-01-26T00:00:00.000Z,47.01,47.1339,46.2399,47.0,42525530,40.5201275536,40.6269227845,39.8563421839,40.5115080838,42525530,0.0,1.0
2015-01-27T00:00:00.000Z,42.66,43.2,42.105,42.95,169163953,36.7706581884,37.2361095579,36.2922776142,37.0206228127,169163953,0.0,1.0
2015-01-28T00:00:00.000Z,41.19,42.79,41.16,42.74,84507078,35.503596127,36.8827112959,35.4777377176,36.8396139468,84507078,0.0,1.0
